run,mode,lr,beta2,seed,status,loss,tokens,directory,recipe_identity
synchronous-lr0.0012-beta20.98-seed43,synchronous,0.0012,0.98,43,complete,3.583648237575252,408071168,synchronous-lr0.0012-beta20.98-seed43/attempt-001,ead32e3582201ddfbdfb6f6af765efff0205619b85b1b8440454f8719322bd17
synchronous-lr0.0012-beta20.98-seed44,synchronous,0.0012,0.98,44,complete,3.585548872632422,408071168,synchronous-lr0.0012-beta20.98-seed44/attempt-001,aa2cb2340b52e2f2576eec67227648adbca40e7b747b7a661726247c551d92ba
synchronous-lr0.0012-beta20.999-seed42,synchronous,0.0012,0.999,42,complete,3.568136127228448,408071168,synchronous-lr0.0012-beta20.999-seed42/attempt-001,3ea4f6447a7f092466184ed66d169352ae1961f262fe737b9355b058b67ef04d
synchronous-lr0.0012-beta20.999-seed43,synchronous,0.0012,0.999,43,complete,3.572866770175432,408071168,synchronous-lr0.0012-beta20.999-seed43/attempt-001,06379c9bde397bad31c176e8f744fdb7a0483459361c5e6bb9917b57ccb05a9d
synchronous-lr0.0012-beta20.999-seed44,synchronous,0.0012,0.999,44,complete,3.5677164841169673,408071168,synchronous-lr0.0012-beta20.999-seed44/attempt-001,c4a1b8895016f8f309cd326543f656df02311150cc9e61e9a9956558cd87244f
synchronous-lr0.0014-beta20.95-seed42,synchronous,0.0014,0.95,42,complete,3.6100090198337473,408071168,synchronous-lr0.0014-beta20.95-seed42/attempt-001,f826f20277d532e3215f2e6a7678cf39a6fbab9b5e94647d77e4ad3b157c159d
synchronous-lr0.0014-beta20.95-seed43,synchronous,0.0014,0.95,43,complete,3.617318016012853,408071168,synchronous-lr0.0014-beta20.95-seed43/attempt-001,ba389459313f4825ded44e0113d37e7a0d134862be512f59953a80384401ec80
synchronous-lr0.0014-beta20.95-seed44,synchronous,0.0014,0.95,44,complete,3.6076399561103436,408071168,synchronous-lr0.0014-beta20.95-seed44/attempt-001,fef70b200930c65554696461af20db7be2facdf76815eba408b38ad4e0613433
synchronous-lr0.0014-beta20.98-seed42,synchronous,0.0014,0.98,42,complete,3.578544426689726,408071168,synchronous-lr0.0014-beta20.98-seed42/attempt-001,95f66aa14017966662959c9ae46a03fe4215531036fb7d6ffa7c41f3fe4ba352
synchronous-lr0.0014-beta20.98-seed43,synchronous,0.0014,0.98,43,complete,3.580697845975768,408071168,synchronous-lr0.0014-beta20.98-seed43/attempt-001,9f020ca7452d5ca83f1dce5051645a98a7e10d997210dff2647d65d14d194ba7
synchronous-lr0.0014-beta20.98-seed44,synchronous,0.0014,0.98,44,complete,3.5872228063349736,408071168,synchronous-lr0.0014-beta20.98-seed44/attempt-001,a130a2113c9901560215552aaf18158d338865c30e0b748bfd528d015e6db4f6
synchronous-lr0.0014-beta20.999-seed42,synchronous,0.0014,0.999,42,complete,3.5647669551150227,408071168,synchronous-lr0.0014-beta20.999-seed42/attempt-001,8979a52dd1a75319a323eb6ae15995c0ea50bff21d99b1c954d159f6f352da18
synchronous-lr0.0014-beta20.999-seed43,synchronous,0.0014,0.999,43,complete,3.566905555120171,408071168,synchronous-lr0.0014-beta20.999-seed43/attempt-001,734c87a22ad8b0bbd049cd94bd492d5369fd91f0684f00abac5512bc7da6d0dc
synchronous-lr0.0014-beta20.999-seed44,synchronous,0.0014,0.999,44,complete,3.5690169087698487,408071168,synchronous-lr0.0014-beta20.999-seed44/attempt-001,00059f6aad6667fcc93a68c2878c26f8cebbf80737dd43a70944942e96b5076c
packed-4-lr0.0010-beta20.95-seed42,packed-4,0.001,0.95,42,complete,3.79408536058331,408068096,packed-4-lr0.0010-beta20.95-seed42/attempt-001,1f20d6594f4bb4348d3c3f05c6e256168a7585c19797358cc569e32728355b20
packed-4-lr0.0010-beta20.95-seed43,packed-4,0.001,0.95,43,complete,3.7834315600116675,408068096,packed-4-lr0.0010-beta20.95-seed43/attempt-001,e641ed7646eb46af2e9eb25d0d44e5bf1a703f12167be4305f673177749e68c6
packed-4-lr0.0010-beta20.95-seed44,packed-4,0.001,0.95,44,complete,3.790867696222652,408068096,packed-4-lr0.0010-beta20.95-seed44/attempt-001,84acb10f849ff4fb91e1d54690b508f70667d694021fa86f2aba5e10d77eaba0
packed-4-lr0.0010-beta20.98-seed42,packed-4,0.001,0.98,42,complete,3.7100073149564126,408068096,packed-4-lr0.0010-beta20.98-seed42/attempt-001,ebc265c9238340161de4bd9124de7e87e90fe7eb180387b2a4f22e76f15200cf
packed-4-lr0.0010-beta20.98-seed43,packed-4,0.001,0.98,43,complete,3.7021165588388025,408068096,packed-4-lr0.0010-beta20.98-seed43/attempt-001,111df7e922690577a394192f279c23114a88e279f83916b1c1c7619c0cd9e785
packed-4-lr0.0010-beta20.98-seed44,packed-4,0.001,0.98,44,complete,3.7093081448336145,408068096,packed-4-lr0.0010-beta20.98-seed44/attempt-001,f18e12b46a6a9af0c9708e0e559177682af31a718b92394f0383f936e21fe004
packed-4-lr0.0010-beta20.999-seed42,packed-4,0.001,0.999,42,complete,3.6358558019588867,408068096,packed-4-lr0.0010-beta20.999-seed42/attempt-001,289fc877ab9c9f608d1664c55dea6fa34b103bddb1d2c94ac2ad4f2a53bbf053
packed-4-lr0.0010-beta20.999-seed43,packed-4,0.001,0.999,43,complete,3.6303633886437052,408068096,packed-4-lr0.0010-beta20.999-seed43/attempt-001,58cb3e8a949fd5f16404a113be98f0dc38c4f4801c9f5db888edd8141f4c3bf9
packed-4-lr0.0010-beta20.999-seed44,packed-4,0.001,0.999,44,complete,3.637517605150032,408068096,packed-4-lr0.0010-beta20.999-seed44/attempt-001,3a1ac5e4cc0a503142cb88fb59bd36d9ce9673191e0f3d4ecaa3c8f067d129f1
packed-4-lr0.0012-beta20.95-seed42,packed-4,0.0012,0.95,42,complete,3.77894445013179,408068096,packed-4-lr0.0012-beta20.95-seed42/attempt-001,15c4285f1523154b90e686cfa4d19f9c9fd934fdb4a77aa88699fcb5f4aad9e8
packed-4-lr0.0012-beta20.95-seed43,packed-4,0.0012,0.95,43,complete,3.773140075784419,408068096,packed-4-lr0.0012-beta20.95-seed43/attempt-001,c3147096f35b25acac50eeaa088da90844f62b9859040fa8e2f83b0c87ea1f93
packed-4-lr0.0012-beta20.95-seed44,packed-4,0.0012,0.95,44,complete,3.782383178204047,408068096,packed-4-lr0.0012-beta20.95-seed44/attempt-001,592ff306520c783044e0236e08b460a954b59db0f25076bed75bcae98cd3a952
packed-4-lr0.0012-beta20.98-seed42,packed-4,0.0012,0.98,42,complete,3.6999911637846368,408068096,packed-4-lr0.0012-beta20.98-seed42/attempt-001,eb02cf991795de844a8d4867365738831be9e98c66392459ae18f3a61ccd1155
packed-4-lr0.0012-beta20.98-seed43,packed-4,0.0012,0.98,43,complete,3.684602354394854,408068096,packed-4-lr0.0012-beta20.98-seed43/attempt-001,f0c0318834ca5d28bd586d43533150c0b2dcaba0e9e0e01b812b7c92b62d8114
packed-4-lr0.0012-beta20.98-seed44,packed-4,0.0012,0.98,44,complete,3.695991639193596,408068096,packed-4-lr0.0012-beta20.98-seed44/attempt-001,dd64263b45feaace31c89987afecdddbb432a216d9d077d2c0be9e08f39a8da3
packed-4-lr0.0012-beta20.999-seed42,packed-4,0.0012,0.999,42,complete,3.625450394505379,408068096,packed-4-lr0.0012-beta20.999-seed42/attempt-001,a4823032dd7cd7b8e8263ce4955a4f3046e1b9f533b94c2fbcaa1a1ddb4f4c55
packed-4-lr0.0012-beta20.999-seed43,packed-4,0.0012,0.999,43,complete,3.6126628051522958,408068096,packed-4-lr0.0012-beta20.999-seed43/attempt-001,0bf2ff53c155326dab56900b4ff851c03aa7954eca286a9dafce02461464c432
packed-4-lr0.0012-beta20.999-seed44,packed-4,0.0012,0.999,44,complete,3.62224473653036,408068096,packed-4-lr0.0012-beta20.999-seed44/attempt-001,44bb0d7182d05690bfd49b4f7165752420c9ca4872aacc1a2b56c3a0cd049e01
packed-4-lr0.0016-beta20.95-seed42,packed-4,0.0016,0.95,42,complete,3.7768758746087894,408068096,packed-4-lr0.0016-beta20.95-seed42/attempt-001,168411c27e61680a232c8468c078169e22b47ed3f9c440c015aa50f25277fba9
packed-4-lr0.0016-beta20.95-seed43,packed-4,0.0016,0.95,43,complete,3.761693903041374,408068096,packed-4-lr0.0016-beta20.95-seed43/attempt-001,36a93b3d5cb7ad26484147f53286aa598593e4eb99965b67151c431191ee1424
packed-4-lr0.0016-beta20.95-seed44,packed-4,0.0016,0.95,44,complete,3.776468997879227,408068096,packed-4-lr0.0016-beta20.95-seed44/attempt-001,6bc6210b03ba9c645bd4984b9d0a723eb6c3b3dc084546b9f19e13f559e66cc7
packed-4-lr0.0016-beta20.98-seed42,packed-4,0.0016,0.98,42,complete,3.684992626335173,408068096,packed-4-lr0.0016-beta20.98-seed42/attempt-001,545f6fc5570a4eb62be6d41fc0ba15a95ab3dcff5c163e68c20a92e9189e6340
packed-4-lr0.0016-beta20.98-seed43,packed-4,0.0016,0.98,43,complete,3.6747362854216816,408068096,packed-4-lr0.0016-beta20.98-seed43/attempt-001,3f9dde8d169fa18fe33b558e37831531f6594213c418b54448387b0c0f4e0304
packed-4-lr0.0016-beta20.98-seed44,packed-4,0.0016,0.98,44,complete,3.6884397046608606,408068096,packed-4-lr0.0016-beta20.98-seed44/attempt-001,2d4e614013e622d18bd2d95483bcf46767fc734c638c6bb851dd4cfbcc16026d
packed-4-lr0.0016-beta20.999-seed42,packed-4,0.0016,0.999,42,complete,3.6080484076040276,408068096,packed-4-lr0.0016-beta20.999-seed42/attempt-001,1b8376a76008e1bdeee7ff9d5568316ac830e468357daf88117d045dae248cc7
packed-4-lr0.0016-beta20.999-seed43,packed-4,0.0016,0.999,43,complete,3.6045256478765832,408068096,packed-4-lr0.0016-beta20.999-seed43/attempt-001,b26124cd75f025d0ee7783d188ba731da5e789520696a427e2bf24d7e0626eb3
packed-4-lr0.0016-beta20.999-seed44,packed-4,0.0016,0.999,44,complete,3.6073872549771586,408068096,packed-4-lr0.0016-beta20.999-seed44/attempt-001,bfd700a4b91f3a44c7c4a953150aa8cf8b844f7ebb8293d3e738284eb68da526
packed-4-lr0.0020-beta20.95-seed42,packed-4,0.002,0.95,42,complete,3.7691262582505027,408068096,packed-4-lr0.0020-beta20.95-seed42/attempt-001,70a56728f183e8e546edcf6387c5d1806aba05b1d18040b3559042234cb04cb5
packed-4-lr0.0020-beta20.95-seed43,packed-4,0.002,0.95,43,complete,3.7630695957840086,408068096,packed-4-lr0.0020-beta20.95-seed43/attempt-001,3f2ac7acdb557c63a4e908625febf10c105c927da3123d44d6975355fa2252b4
packed-4-lr0.0020-beta20.95-seed44,packed-4,0.002,0.95,44,complete,3.767718901345193,408068096,packed-4-lr0.0020-beta20.95-seed44/attempt-001,7e7bb1a64c8ced4dac29169579504b0605320a89e8d90f7944369f622357bf2c
packed-4-lr0.0020-beta20.98-seed42,packed-4,0.002,0.98,42,complete,3.6823085008362497,408068096,packed-4-lr0.0020-beta20.98-seed42/attempt-001,527c350bcaffdcc792bbe8466b204fe66be58eba5c92a181b234a76dc7f75f30
packed-4-lr0.0020-beta20.98-seed43,packed-4,0.002,0.98,43,complete,3.6699531569360833,408068096,packed-4-lr0.0020-beta20.98-seed43/attempt-001,417641ce68a8eb34e687bee31d49bce23f70685b37cff22538752d18c09c3fa1
packed-4-lr0.0020-beta20.98-seed44,packed-4,0.002,0.98,44,complete,3.6803800029767233,408068096,packed-4-lr0.0020-beta20.98-seed44/attempt-001,1e60ba4f7ec3cc3c28245b55e894648de6ef7fcc5e740e7a3268b72cc740544d
packed-4-lr0.0020-beta20.999-seed42,packed-4,0.002,0.999,42,complete,3.591240067379088,408068096,packed-4-lr0.0020-beta20.999-seed42/attempt-001,aaed994deb2f1857eae09c89371ed87a881569232c35e22e4d143bd3450fa026
packed-4-lr0.0020-beta20.999-seed43,packed-4,0.002,0.999,43,complete,3.597764607289498,408068096,packed-4-lr0.0020-beta20.999-seed43/attempt-001,d1c06126571af426d3c8c501e4741c6fdceb366f6fccbadcf6dc4c83645426b6
packed-4-lr0.0020-beta20.999-seed44,packed-4,0.002,0.999,44,complete,3.5984130753049617,408068096,packed-4-lr0.0020-beta20.999-seed44/attempt-001,8abb274336df5cabaeb08ff165169a94a9c326aa4b5bb9c130d386511abf9088
packed-8-lr0.0010-beta20.95-seed42,packed-8,0.001,0.95,42,complete,3.9862760526308216,408068096,packed-8-lr0.0010-beta20.95-seed42/attempt-001,2864d7988646375bfe82f4321dd38d6ff105978aef264defaf1a4986b040e2ed
packed-8-lr0.0010-beta20.95-seed43,packed-8,0.001,0.95,43,complete,3.9861508634267344,408068096,packed-8-lr0.0010-beta20.95-seed43/attempt-001,b9d3be3ba718a170037b2eed62bc78b20e38672933503df0f2b02de4be26ec40
packed-8-lr0.0010-beta20.95-seed44,packed-8,0.001,0.95,44,complete,3.9788837219314304,408068096,packed-8-lr0.0010-beta20.95-seed44/attempt-001,bbcb3fb5d969ce6575dca25b9feab04290b4dc53fa647f695e16150e27789061
packed-8-lr0.0010-beta20.98-seed42,packed-8,0.001,0.98,42,complete,3.852818129291741,408068096,packed-8-lr0.0010-beta20.98-seed42/attempt-001,79b7978d3df81eebd2e713b5e7dbcaf6a0c8b219fbbd8509c26efa8a0289c7d8
packed-8-lr0.0010-beta20.98-seed43,packed-8,0.001,0.98,43,complete,3.849821631042327,408068096,packed-8-lr0.0010-beta20.98-seed43/attempt-001,7f678a61057285cf077c5602173484bbf639971c9e8fe1a4f8a8563774f22a99
packed-8-lr0.0010-beta20.98-seed44,packed-8,0.001,0.98,44,complete,3.8400366818671308,408068096,packed-8-lr0.0010-beta20.98-seed44/attempt-001,e0c04b2c27632c7fcc59168440df542037a6713ab0921b8e167fe7576e2a83d8
packed-8-lr0.0010-beta20.999-seed42,packed-8,0.001,0.999,42,complete,3.7180966285092034,408068096,packed-8-lr0.0010-beta20.999-seed42/attempt-001,aa2f0c24a068039a0979ac2691fa9b556c3b6c35bab9e4c8ebaab8ac17fc3011
packed-8-lr0.0010-beta20.999-seed43,packed-8,0.001,0.999,43,complete,3.7046483047007452,408068096,packed-8-lr0.0010-beta20.999-seed43/attempt-001,728124cacefb6730e1fed7215fc4d9e2440f17264d1ed33a71f9d90c637892b0
packed-8-lr0.0010-beta20.999-seed44,packed-8,0.001,0.999,44,complete,3.709711689592211,408068096,packed-8-lr0.0010-beta20.999-seed44/attempt-001,6141e6fae22e1de1cd63d4cbc83cbc7eba8ce74b53fb32480e70c4635f7821c9
packed-8-lr0.0012-beta20.95-seed42,packed-8,0.0012,0.95,42,complete,3.968239178231338,408068096,packed-8-lr0.0012-beta20.95-seed42/attempt-001,ce12fdfbb05d763fec3907d1ec6c923ac86de86f96002c68382589799c730281
packed-8-lr0.0012-beta20.95-seed43,packed-8,0.0012,0.95,43,complete,3.9721397708868293,408068096,packed-8-lr0.0012-beta20.95-seed43/attempt-001,e39af392f66ac5536f4c5a799673c3bd554fb5e159055349d0b2389642893d34
packed-8-lr0.0012-beta20.95-seed44,packed-8,0.0012,0.95,44,complete,3.9678367693974486,408068096,packed-8-lr0.0012-beta20.95-seed44/attempt-001,55d56fea1bc6fe71a65e58e13339649aa73801f9f90a36269a00a28328e64f59
packed-8-lr0.0012-beta20.98-seed42,packed-8,0.0012,0.98,42,complete,3.837198978715685,408068096,packed-8-lr0.0012-beta20.98-seed42/attempt-001,0d83e7babe43b54d96630ec61d0d2174baabf3bce88ad22e42cc0da633aa71dc
packed-8-lr0.0012-beta20.98-seed43,packed-8,0.0012,0.98,43,complete,3.825229118819814,408068096,packed-8-lr0.0012-beta20.98-seed43/attempt-001,fad78106718de86b5f0e8bb937f20d98660a27f7c6612a29b6839211599edf37
packed-8-lr0.0012-beta20.98-seed44,packed-8,0.0012,0.98,44,complete,3.8395589637672103,408068096,packed-8-lr0.0012-beta20.98-seed44/attempt-001,dca80568889738e1fd55eaa56221b8c5b0fc76195a024954459f4392f1587787
packed-8-lr0.0012-beta20.999-seed42,packed-8,0.0012,0.999,42,complete,3.6965444532202425,408068096,packed-8-lr0.0012-beta20.999-seed42/attempt-001,6b50fec0e2149232acaa2edd17150f3bb8858639430843847dea83be27dd2453
packed-8-lr0.0012-beta20.999-seed43,packed-8,0.0012,0.999,43,complete,3.6826385351527615,408068096,packed-8-lr0.0012-beta20.999-seed43/attempt-001,cf5ace93c44a2e498b22e2b835cbbf759cecd6d1eaf21a1b8b3cd87dffb4b5a6
packed-8-lr0.0012-beta20.999-seed44,packed-8,0.0012,0.999,44,complete,3.6890093162313122,408068096,packed-8-lr0.0012-beta20.999-seed44/attempt-001,70f6d3b7c1033aad593a664b21c10c8052f4f53753753e69abb8c6a251913a1f
packed-8-lr0.0016-beta20.95-seed42,packed-8,0.0016,0.95,42,complete,3.9576983532209264,408068096,packed-8-lr0.0016-beta20.95-seed42/attempt-001,71d4491dc2859ad9d339a00f0190d9f5680dce6abfd6d05d81e5e1f2df441003
packed-8-lr0.0016-beta20.95-seed43,packed-8,0.0016,0.95,43,complete,3.9529608999848693,408068096,packed-8-lr0.0016-beta20.95-seed43/attempt-001,85328702fba295658b757bace08dedda29ca1ed0eb893a2a2b509e814886618a
packed-8-lr0.0016-beta20.95-seed44,packed-8,0.0016,0.95,44,complete,3.953589771343897,408068096,packed-8-lr0.0016-beta20.95-seed44/attempt-001,e0a88b8f8ffa40b6ab384208dedacb833fd8cebc66b397016c920255ac18f08c
packed-8-lr0.0016-beta20.98-seed42,packed-8,0.0016,0.98,42,complete,3.8119267525365492,408068096,packed-8-lr0.0016-beta20.98-seed42/attempt-001,0b01682db7d3ae66c1b870d5b4ab996122237f8d8455307bb38f5536ac185cc5
packed-8-lr0.0016-beta20.98-seed43,packed-8,0.0016,0.98,43,complete,3.8166010927936824,408068096,packed-8-lr0.0016-beta20.98-seed43/attempt-001,1e2361167c6e64f2a40980b69ad0703ac0c7a08020ac75a6f5647fecd32e6dd4
packed-8-lr0.0016-beta20.98-seed44,packed-8,0.0016,0.98,44,complete,3.822022277354436,408068096,packed-8-lr0.0016-beta20.98-seed44/attempt-001,76926c6cd3b8f345ada790f3734bb361fc05adef13dedd0335414c67e3276190
packed-8-lr0.0016-beta20.999-seed42,packed-8,0.0016,0.999,42,complete,3.6630313506248995,408068096,packed-8-lr0.0016-beta20.999-seed42/attempt-001,03348e5832c67c6ab0b4040de94d5a33dab723b55230eb73f5e7c458852021a8
packed-8-lr0.0016-beta20.999-seed43,packed-8,0.0016,0.999,43,complete,3.6620146692339004,408068096,packed-8-lr0.0016-beta20.999-seed43/attempt-001,83ecedbf928ba4e9602bab514abb38d711b3e21d5c6c46abadaa64b6835b31aa
packed-8-lr0.0016-beta20.999-seed44,packed-8,0.0016,0.999,44,complete,3.6758356499762326,408068096,packed-8-lr0.0016-beta20.999-seed44/attempt-001,5fc67ca7ac7c1f91622a26da76246650e1ea704ecfbef5794fe80962a04d4662
packed-8-lr0.0020-beta20.95-seed42,packed-8,0.002,0.95,42,complete,3.933669798981543,408068096,packed-8-lr0.0020-beta20.95-seed42/attempt-001,324951ba5e349d6aac2a7353ac1f1a4a439ffb4a4c3e7a043721646d729d6c33
packed-8-lr0.0020-beta20.95-seed43,packed-8,0.002,0.95,43,complete,3.9277791292834805,408068096,packed-8-lr0.0020-beta20.95-seed43/attempt-001,a47825fb0c8850f0de41abd56e148a23dde378733285d915bebd5979a3490564
packed-8-lr0.0020-beta20.95-seed44,packed-8,0.002,0.95,44,complete,3.9464625180143273,408068096,packed-8-lr0.0020-beta20.95-seed44/attempt-001,8ad6b7677f0115c722d071ae77a60f91c59b6c6388fc94fc3127600d273dc10d
packed-8-lr0.0020-beta20.98-seed42,packed-8,0.002,0.98,42,complete,3.805355063174087,408068096,packed-8-lr0.0020-beta20.98-seed42/attempt-001,a1146bbc98fa29ad40d685f012e3ea561b66be3faa2d08c9a858aba880f2cda1
packed-8-lr0.0020-beta20.98-seed43,packed-8,0.002,0.98,43,complete,3.806257118738253,408068096,packed-8-lr0.0020-beta20.98-seed43/attempt-001,ac25804d68a9cce01cd0d996ce3dba3be185cd91de4e003d9b8ceb50e2f5e55e
packed-8-lr0.0020-beta20.98-seed44,packed-8,0.002,0.98,44,complete,3.7995070939105524,408068096,packed-8-lr0.0020-beta20.98-seed44/attempt-001,c3c63df86ef728ebaf8a846e2e2a5058c1ca2ecf3babc80f423ed235ca82bb65
packed-8-lr0.0020-beta20.999-seed42,packed-8,0.002,0.999,42,complete,3.6555053262098482,408068096,packed-8-lr0.0020-beta20.999-seed42/attempt-001,2c23ecd86672c08654cc0c13fddb90d3484ae6fd2831fa9c15f3b3d17875d430
packed-8-lr0.0020-beta20.999-seed43,packed-8,0.002,0.999,43,complete,3.665018396963491,408068096,packed-8-lr0.0020-beta20.999-seed43/attempt-001,80f4b2e6d252324bede6822bdc032ee3cef2f18b73db4b014b9f6ea53ec1ed5f
packed-8-lr0.0020-beta20.999-seed44,packed-8,0.002,0.999,44,complete,3.6599590001609186,408068096,packed-8-lr0.0020-beta20.999-seed44/attempt-001,0245ffebb67b91b1f076564ae1c77adb7543a8b6f2e8a69473e677459e567eba
synchronous-lr0.0016-beta20.95-seed42,synchronous,0.0016,0.95,42,complete,3.612478506345251,408071168,synchronous-lr0.0016-beta20.95-seed42/attempt-001,9740452c454894a8eb81b5bfd644d6273b5106aee50ce860757c596c4441b336
synchronous-lr0.0016-beta20.95-seed43,synchronous,0.0016,0.95,43,complete,3.6228566643323106,408071168,synchronous-lr0.0016-beta20.95-seed43/attempt-001,ababe56da0a6793958120889e96a59d3cf95c4ab6ab6b7e71316f71610bf0a2d
synchronous-lr0.0016-beta20.95-seed44,synchronous,0.0016,0.95,44,complete,3.617773340761001,408071168,synchronous-lr0.0016-beta20.95-seed44/attempt-001,aba3b04ea0b9db0d2f8a7cd9f6aaaa20929761ace36e6b941157b1462e8c4b4e
synchronous-lr0.0016-beta20.98-seed42,synchronous,0.0016,0.98,42,complete,3.581848203042477,408071168,synchronous-lr0.0016-beta20.98-seed42/attempt-001,b8b3cb82cd91901f1d502693874ae0f48e45608c377d31524c002bebc9ed360b
